x,y
5.05,8.32
5.11,1.11
8.53,4.89
1.01,4.97
1.46,6.94
2.80,8.18
7.21,7.90
8.49,6.37
7.96,2.98
6.64,1.58
2.92,1.60
1.23,3.51
4.97,8.53
5.80,8.53
6.74,8.37
7.49,7.96
8.24,7.47
8.57,6.80
7.76,7.59
7.25,7.98
6.09,8.30
5.26,8.39
4.99,8.39
5.50,8.49
4.38,8.57
3.22,8.49
2.88,8.32
5.09,8.39
2.35,8.10
2.01,7.67
1.21,6.90
1.50,6.29
2.64,7.39
3.71,8.33
4.26,8.53
1.37,6.23
1.17,5.52
1.25,4.51
1.35,4.06
1.48,3.39
2.15,2.66
3.04,1.90
3.94,1.48
4.99,1.27
5.11,1.13
3.43,1.21
2.07,2.07
1.23,3.10
0.79,4.36
0.81,5.13
1.21,4.38
1.50,3.59
2.19,2.60
3.14,1.88
4.08,1.42
5.40,1.17
5.91,1.30
6.72,1.60
7.51,2.05
7.94,2.72
8.43,3.51
8.63,4.36
9.03,5.44
8.97,6.29
8.63,6.19
8.81,5.28
8.79,5.09
8.73,5.97
8.81,6.86
8.24,7.53
8.24,7.80
7.63,8.43
6.54,8.93
5.89,9.02
4.73,9.00
7.41,8.69
6.01,8.65
5.38,8.69
4.02,8.77
2.11,8.35
1.72,7.65
1.42,7.17
2.15,7.41
2.29,7.65
1.09,6.78
1.13,6.72
8.95,4.32
8.87,3.86
8.83,3.27
8.47,2.23
6.68,1.32
7.78,2.01
8.43,2.66
8.51,3.27
8.32,3.10
3.96,5.89
4.26,6.19
4.73,6.29
5.44,6.27
5.99,6.07
6.23,5.81
6.43,5.26
6.25,4.63
5.99,4.14
5.54,3.94
4.67,4.04
4.08,4.36
3.69,5.09
3.65,5.91
4.61,6.21
5.34,6.33
6.15,5.99
6.56,5.09
6.09,4.16
5.42,3.94
4.79,4.18
3.51,5.01
4.00,5.52
4.42,5.70
4.95,5.95
5.84,6.01
6.25,5.16
4.77,5.99
4.34,5.91
4.46,6.15
5.09,6.29
6.15,5.97
5.85,4.06
5.05,3.92
4.30,4.28
4.24,4.61
3.83,4.83
3.81,4.93
3.87,5.46
3.61,5.46
3.61,5.42
6.31,5.54
6.56,4.65
6.39,4.26
6.23,3.83
5.87,3.75
5.30,3.77
6.17,3.88
5.89,3.94
4.91,3.92
4.38,4.00
4.02,4.14
3.81,4.51
3.83,4.53
3.22,4.93
5.58,6.29
1.13,6.01
0.97,5.70
1.23,5.09
1.33,4.49
1.40,3.71
1.78,3.02
1.76,2.74
2.35,2.23
2.47,2.11
2.70,2.11
4.20,1.52
4.20,1.44
5.09,1.21
7.17,2.29
6.76,1.88
6.23,1.62
3.26,2.23
4.10,1.76
4.91,1.64
5.97,1.62
6.35,1.68
5.60,1.44
4.28,1.52
2.39,2.62
7.47,2.35
7.73,2.35
7.78,2.70
7.08,1.94
4.40,1.23
3.47,1.27
6.54,4.42
9.03,4.93
9.03,4.22
8.87,4.26
8.87,4.89
8.93,6.15
8.91,6.84
8.45,7.33
8.30,7.65
7.61,8.30
2.01,8.28
2.41,8.53
2.72,8.30
2.33,8.18
6.90,8.55
6.43,8.71
7.13,8.75
7.75,8.47
3.53,8.81
