x,y
5.25,4.57
0.88,4.61
2.87,5.38
2.89,4.99
2.95,4.65
5.21,5.09
5.16,5.56
4.82,6.35
0.86,5.14
0.84,6.17
1.61,8.02
3.07,8.43
4.19,7.88
3.07,4.06
3.28,3.39
4.07,2.62
5.14,1.92
6.18,2.05
6.91,2.35
7.56,2.82
7.87,4.00
8.19,5.01
8.25,5.74
8.29,6.35
2.69,5.60
2.77,5.03
2.91,4.55
3.09,4.02
3.34,3.41
3.62,2.86
4.47,2.03
4.56,2.03
3.68,2.62
2.77,3.31
2.91,4.06
2.60,4.83
3.05,3.79
3.84,2.39
5.23,1.95
6.06,1.88
6.93,2.17
7.68,2.74
7.93,3.35
8.19,4.38
8.78,6.09
8.23,6.09
8.37,4.79
8.27,3.77
7.58,2.78
7.07,2.33
6.93,2.27
7.52,2.76
6.63,2.05
5.47,1.88
5.90,1.94
4.05,2.17
7.91,3.61
8.13,4.20
8.23,4.57
8.46,5.68
8.56,6.07
5.51,4.65
5.57,4.85
5.53,5.62
5.25,5.95
4.98,6.60
4.74,7.33
4.43,7.78
0.67,4.73
0.65,5.13
0.69,5.56
0.63,6.31
0.86,7.13
1.28,7.74
1.00,7.27
0.76,6.56
0.84,6.42
1.53,7.84
2.22,8.28
2.91,8.45
3.72,8.10
4.27,7.82
3.07,8.35
1.91,8.18
1.55,7.37
1.45,8.35
2.44,8.51
2.93,8.59
4.49,8.06
5.04,7.19
5.31,6.46
5.45,5.34
5.49,4.87
5.25,5.77
5.10,6.76
4.76,7.69
4.17,8.20
3.09,8.59
2.26,8.59
1.43,8.39
0.82,7.35
0.59,6.52
0.43,5.58
0.71,4.42
0.71,4.40
0.73,4.10
0.76,4.10
0.92,4.16
1.00,4.38
0.86,4.61
0.45,5.76
0.65,6.37
0.63,5.34
0.88,4.99
0.84,7.09
1.32,7.76
1.02,7.29
1.12,7.51
1.12,7.55
2.46,8.55
3.28,8.59
3.78,8.41
3.32,8.39
3.68,8.28
2.52,8.33
2.30,8.33
2.26,8.33
3.30,8.43
5.31,6.72
5.41,6.27
5.67,5.32
5.65,4.73
5.20,5.70
4.86,6.80
4.55,7.69
4.51,7.43
5.51,4.69
2.89,5.56
3.01,4.93
3.21,4.14
3.21,3.31
3.50,2.80
3.95,2.33
4.88,1.94
5.81,1.74
6.89,1.92
7.79,2.64
8.05,3.71
8.13,4.79
8.15,5.72
8.19,6.19
8.23,6.60
8.37,6.94
8.40,6.42
8.39,5.20
8.23,4.26
7.83,3.37
7.50,2.72
6.91,2.05
5.75,1.74
4.74,1.92
3.46,2.66
3.38,3.20
3.19,4.32
8.09,3.16
7.70,2.88
7.97,3.12
7.50,2.23
7.03,2.07
7.56,2.57
7.44,2.49
8.56,6.78
8.56,7.15
8.56,6.41
8.56,6.25
8.50,4.91
8.37,3.94
8.07,3.08
7.68,2.37
7.24,2.17
6.53,1.92
6.30,1.84
5.43,1.82
4.49,1.90
4.25,2.17
4.13,2.27
5.18,6.11
5.08,6.37
4.92,6.80
4.49,7.78
4.56,7.61
5.00,7.04
1.02,7.17
0.73,6.66
0.82,6.90
0.76,6.11
0.74,5.89
0.74,5.66
3.11,3.59
8.31,5.42
