x,y
4.81,5.22
5.28,5.58
5.66,5.54
6.43,5.09
6.64,4.22
5.56,3.81
5.99,4.81
5.68,5.05
4.69,4.49
5.85,4.42
6.33,3.98
5.70,3.00
4.81,3.20
5.03,3.63
5.50,3.90
4.95,4.42
5.64,4.57
5.52,4.59
5.24,4.89
3.96,4.69
4.54,5.76
5.32,5.89
6.50,5.76
6.86,5.34
6.43,5.34
6.19,5.58
6.11,5.97
4.65,5.16
5.46,5.14
5.56,5.18
6.13,5.18
6.60,4.71
6.33,4.55
7.29,4.65
7.25,4.91
6.78,5.01
6.96,4.53
3.92,6.15
3.67,6.13
3.49,6.68
3.94,6.96
4.32,6.82
4.42,6.44
3.85,6.52
3.08,6.48
3.00,6.98
3.61,7.25
3.71,6.98
3.83,6.86
4.10,6.82
4.14,7.19
4.67,6.80
4.83,5.89
5.19,6.33
4.30,5.48
4.93,5.52
7.88,6.21
6.84,6.03
6.52,6.44
7.04,7.45
7.86,7.37
8.12,6.80
7.33,6.37
7.17,6.82
7.59,7.00
7.63,6.70
6.90,6.54
6.82,6.96
7.23,7.17
7.49,7.25
7.61,7.55
7.88,7.05
7.86,6.70
7.45,6.72
6.82,7.19
7.57,6.46
7.94,6.46
7.21,6.58
3.41,6.94
3.85,7.15
3.98,7.39
4.26,7.09
3.96,6.76
3.83,7.00
4.10,6.54
7.51,7.04
7.61,7.35
7.80,6.88
7.13,7.05
8.49,7.27
6.56,3.14
7.35,3.73
7.29,4.22
6.31,3.59
6.01,3.59
5.66,6.19
5.95,6.19
6.90,5.79
7.21,5.52
7.51,5.07
4.32,4.81
4.99,4.87
5.32,4.83
6.03,4.65
5.32,3.79
5.28,3.94
5.48,4.18
5.91,3.96
6.70,5.42
6.98,5.32
7.02,5.13
6.82,5.03
6.52,5.44
7.73,7.53
7.55,7.41
7.78,7.15
7.12,7.57
7.31,7.98
7.80,7.21
7.92,6.54
4.40,7.27
4.10,7.47
3.55,7.59
3.51,7.31
3.67,7.09
3.79,7.55
7.00,6.96
7.10,6.98
8.22,6.92
8.12,7.13
8.10,7.65
5.74,5.68
5.42,5.48
5.19,5.42
5.11,5.66
6.72,3.23
6.50,3.31
6.39,3.57
6.48,3.88
7.65,6.19
7.76,6.42
4.59,7.00
4.61,7.45
3.49,6.35
3.02,6.80
5.15,4.20
4.63,4.59
4.00,7.90
4.32,5.83
5.01,6.33
8.47,5.20
6.88,3.71
6.01,5.28
5.80,5.79
5.34,5.76
6.98,4.77
5.82,3.79
5.09,5.07
4.69,5.68
5.22,5.89
7.39,5.30
7.47,4.83
7.29,7.45
8.08,7.19
4.73,7.29
3.33,7.11
3.51,7.07
4.12,6.35
6.31,4.77
6.33,4.22
7.84,4.75
7.25,5.60
4.24,5.16
4.59,5.13
4.95,4.75
6.74,6.37
7.13,6.07
7.41,5.70
6.80,7.57
8.24,6.64
3.12,7.37
3.33,7.59
4.28,4.65
4.54,4.61
4.69,4.75
4.65,4.99
5.87,5.56
6.43,5.56
5.17,4.49
5.74,4.18
5.48,3.37
4.50,4.04
4.87,3.98
6.78,3.57
7.41,4.16
7.69,4.57
6.72,4.04
7.02,4.20
6.56,7.11
8.20,6.33
